일시,합계 생산(1000 toe),무연탄 생산(1000 toe),천연가스 생산(1000 toe),수력 생산(1000 toe),원자력 생산(1000 toe),신재생 및 기타 생산(1000 toe),합계 소비(1000 toe),석탄 소비(1000 toe),석유 소비(1000 toe),액화천연가스 소비(1000 toe),도시가스 소비(1000 toe),전력 소비(1000 toe),열 소비(1000 toe),신재생 및 기타 소비(%),이산화탄소(CO2),미세먼지,평균기온,최고기온,최저기온,초미세먼지,오존,온실가스
1999-01-01,2303,162,0,78,1928,137,13466,1522,8751,0,1427,1450,180,137,373.1,,-0.8,12.4,-12.2,,,469.415
1999-02-01,2216,137,0,94,1854,132,12179,1313,7800,0,1404,1379,152,132,374,,0.7,10.2,-12.3,,,469.415
1999-03-01,2444,174,0,112,2012,146,13219,1566,8723,0,1206,1447,130,146,374.9,,6.7,18.8,-6.2,,,469.415
1999-04-01,2342,163,0,137,1889,152,11957,1526,7748,0,978,1477,76,152,375.1,,13.9,28.2,1.6,,,469.415
1999-05-01,2601,151,0,131,2163,156,10270,1544,6437,0,626,1463,45,156,374,,17.5,28.1,10.2,,,469.415
1999-06-01,2504,164,0,130,2068,142,10121,1512,6424,0,498,1522,22,142,370.8,,23.1,33.6,15.8,,,469.415
1999-07-01,2523,156,0,90,2126,152,11144,1557,7418,0,420,1582,15,152,366.6,,25.9,34.9,18.2,,,469.415
1999-08-01,2852,149,0,209,2351,142,11059,1527,7334,0,406,1635,15,142,363.8,,26,35.4,19.5,,,469.415
1999-09-01,2743,140,0,179,2287,137,11172,1493,7445,0,430,1644,22,137,365.3,,22.9,32,12.8,,,469.415
1999-10-01,2847,161,0,152,2363,172,11851,1591,7790,0,640,1583,74,172,370,,14.3,24,1.5,,,469.415
1999-11-01,2778,168,0,94,2351,166,12532,1555,8075,0,1022,1597,118,166,372.8,,7.9,18.6,-6.1,,,469.415
1999-12-01,2826,163,0,114,2376,173,14059,1619,8984,0,1456,1643,185,173,373.8,,0.4,12,-11.5,,,469.415
2000-01-01,2787,156,0,114,2356,161,14124,1526,8784,0,1762,1689,203,161,375.3,,-2.1,9.9,-12.1,,,502.73
2000-02-01,2567,143,0,108,2161,155,13547,1365,8410,0,1817,1629,171,155,376.3,,-1.7,7.5,-11.6,,,502.73
2000-03-01,2669,175,0,78,2245,172,13777,1658,8561,0,1536,1704,146,172,377.1,,6.3,18.9,-4.8,,,502.73
2000-04-01,2493,156,0,77,2082,180,12153,1565,7548,0,1133,1642,85,180,377.6,,11.9,23.5,1.8,,,502.73
2000-05-01,2620,158,0,87,2191,184,12121,1706,7717,0,819,1646,50,184,375.8,,17.5,30.5,7.9,,,502.73
2000-06-01,2550,168,0,119,2095,168,11083,1622,7001,0,574,1693,25,168,372.1,,23.7,33.9,14.6,,,502.73
2000-07-01,2778,151,0,126,2323,179,10952,1705,6786,0,486,1779,17,179,368.1,,26.8,34.2,19.9,,,502.73
2000-08-01,2938,154,0,172,2445,168,11579,1657,7415,0,473,1848,17,168,365.7,,26.2,35.1,19,,,502.73
2000-09-01,2914,141,0,221,2390,162,11442,1520,7454,0,537,1742,28,162,367.5,,20.7,31,11.9,,,502.73
2000-10-01,2697,154,0,111,2229,203,11823,1755,7377,0,716,1689,83,203,372,,14.9,26.5,3.5,,,502.73
2000-11-01,2668,165,0,103,2205,195,13118,1888,8019,0,1132,1752,133,195,375.2,,7,20.3,-3.8,,,502.73
2000-12-01,2959,148,0,87,2521,203,14240,1696,8768,0,1577,1788,208,203,376.7,,0.9,11.9,-11.4,,,502.73
2001-01-01,2918,138,0,72,2521,187,15012,1634,9140,0,1982,1832,238,187,377.8,,-4.1,6.8,-18.6,,,516.009
2001-02-01,2644,148,0,56,2262,179,13253,1433,7683,0,1956,1814,188,179,378.8,,-0.3,12.2,-10.4,,,516.009
2001-03-01,2680,167,0,56,2258,199,13900,1729,8383,0,1607,1821,162,199,379.5,,5,21,-6.1,,,516.009
2001-04-01,2792,149,0,73,2364,206,12156,1676,7163,0,1223,1800,87,206,379.8,,13.6,28.2,2.1,,,516.009
2001-05-01,2718,153,0,83,2270,211,11929,1673,7440,0,805,1757,42,211,378.8,,19.1,31.5,10.4,,,516.009
2001-06-01,2576,153,0,96,2134,194,11773,1780,7383,0,583,1811,22,194,375.2,,22.5,32.7,15.6,,,516.009
2001-07-01,2836,137,0,150,2343,207,10901,1757,6538,0,545,1837,19,207,370.2,,25.9,32.8,20.3,,,516.009
2001-08-01,3091,137,0,165,2595,194,11555,1715,7190,0,512,1929,15,194,367.8,,26.5,35.3,19.4,,,516.009
2001-09-01,2704,144,0,99,2276,185,12146,1631,7879,0,519,1910,22,185,369.7,,22.5,31.7,11,,,516.009
2001-10-01,2675,132,0,72,2238,233,11717,1775,7147,0,686,1812,65,233,374.2,,16.5,25.3,8.8,,,516.009
2001-11-01,2816,135,0,62,2393,226,13286,1745,8159,0,1146,1871,139,226,377.6,,7,16,-3.1,,,516.009
2001-12-01,2795,126,0,54,2379,236,15475,1810,9512,0,1728,1970,219,236,378.3,,-0.6,10.9,-8.8,,,516.009
2002-01-01,2815,141,0,58,2417,199,15325,1836,8914,0,2057,2094,225,199,379.4,,0.3,13.5,-12,,,538.458
2002-02-01,2724,114,0,60,2354,196,13698,1502,8019,0,1863,1935,183,196,380.5,,2.9,12.6,-5.1,,,538.458
2002-03-01,2959,141,0,74,2537,207,14301,1755,8648,0,1578,1964,150,207,380.6,,7.6,19.4,-2.9,,,538.458
2002-04-01,2600,136,0,72,2156,236,13072,1693,7860,0,1235,1963,86,236,381,,13.6,27.7,4.3,,,538.458
2002-05-01,3064,138,0,113,2566,248,12110,1813,7168,0,912,1916,53,248,380.3,,18.2,27.7,10,,,538.458
2002-06-01,2992,111,0,136,2527,218,11592,1754,7013,0,668,1912,27,218,376.9,,22.2,32,14.5,,,538.458
2002-07-01,3132,125,0,146,2619,242,11901,1845,7195,0,632,1967,21,242,372.7,,25.2,34.8,18.9,,,538.458
2002-08-01,3341,116,0,221,2757,247,12267,1739,7629,0,597,2032,23,247,369.9,,24.2,32.2,17.9,,,538.458
2002-09-01,2878,111,0,210,2296,261,12544,1703,7943,0,633,1970,34,261,371.8,,21.6,30.6,13.5,,,538.458
2002-10-01,2967,126,0,78,2484,280,13230,1873,8113,0,889,1974,100,280,376.9,,12.8,24.9,-0.3,,,538.458
2002-11-01,2801,122,0,70,2325,285,14656,2005,8518,0,1568,2091,189,285,380,,4,16.7,-4.8,,,538.458
2002-12-01,3249,113,0,91,2741,305,16181,1965,9616,0,1937,2131,226,305,380.9,,1.7,15.9,-9.1,,,538.458
2003-01-01,3392,122,0,83,2937,251,16430,1986,9315,0,2313,2272,297,248,381.9,,-2.5,8.7,-15.5,,,548.808
2003-02-01,2777,115,0,77,2346,239,14478,1751,7991,0,2136,2145,218,237,382.9,,2.7,11.9,-8.3,,,548.808
2003-03-01,3348,132,0,80,2872,264,14402,1871,8174,0,1789,2115,192,262,384.1,,6.5,20.9,-5,,,548.808
2003-04-01,2963,132,0,95,2466,270,12870,1840,7180,0,1384,2094,105,268,384.7,,13.2,24.6,4.8,,,548.808
2003-05-01,2847,123,0,190,2257,277,12832,1876,7646,0,982,2000,55,274,383.2,,19.6,30.4,8.5,,,548.808
2003-06-01,2902,123,0,164,2361,253,12519,1733,7752,0,729,2018,35,251,379.4,,21.5,31.1,14.4,,,548.808
2003-07-01,3640,126,0,206,3038,270,12326,1930,7381,0,683,2030,33,268,374.7,,23.8,31.4,18.3,,,548.808
2003-08-01,3588,115,0,242,2978,253,12444,1808,7627,0,638,2089,31,251,372.1,,24.1,32.2,16.6,,,548.808
2003-09-01,3246,112,0,290,2601,243,12078,1776,7305,0,669,2047,41,241,374,,20.9,28.7,13.8,,,548.808
2003-10-01,3514,127,0,132,2949,306,13653,1988,8324,0,896,2046,95,304,378.6,,13.9,26,2.7,,,548.808
2003-11-01,3293,127,0,84,2782,300,14366,1911,8533,0,1332,2140,153,297,381.4,,9.5,21.3,-3.2,,,548.808
2003-12-01,3355,130,0,80,2831,314,16153,1959,9443,0,1918,2254,267,312,382.3,,0.7,12,-8.1,,,548.808
2004-01-01,3090,115,0,80,2594,300,15933,1846,8958,0,2259,2301,272,297,384.1,,-1.5,8.1,-16.7,,,557.059
2004-02-01,2842,127,0,56,2371,289,14890,1772,7894,0,2390,2329,220,286,385.6,,2.3,18.7,-7.8,,,557.059
2004-03-01,3062,135,0,58,2548,322,15116,1830,8555,0,1958,2266,189,318,385.9,,6.3,18.7,-5.6,,,557.059
2004-04-01,2932,131,0,58,2408,335,13373,1731,7541,0,1464,2203,105,330,386.2,,13.1,27.3,2.7,,,557.059
2004-05-01,3149,114,0,91,2602,343,13040,1848,7623,0,1050,2115,65,339,384.9,,17.6,27.6,8.8,,,557.059
2004-06-01,3266,104,0,151,2696,314,12609,1763,7530,0,813,2161,32,311,381.4,,23.2,32.5,14.6,,,557.059
2004-07-01,3631,114,0,280,2900,336,12409,1893,7222,0,732,2200,32,331,376.9,,24.8,34.5,19.5,,,557.059
2004-08-01,3874,119,0,273,3166,315,12911,1776,7768,0,689,2343,23,310,374.1,,26.1,36.2,18.7,,,557.059
2004-09-01,3392,110,0,162,2818,302,12567,1722,7612,0,696,2205,35,297,376.1,,21.7,31.3,12.8,,,557.059
2004-10-01,3293,129,0,88,2699,377,13564,2026,8035,0,913,2130,87,373,380.8,,15.2,25.6,5.3,,,557.059
2004-11-01,3355,120,0,84,2787,364,13956,1854,8000,0,1344,2247,150,360,383.7,,9.1,21.5,0.2,,,557.059
2004-12-01,3883,118,213,83,3090,380,16084,2041,9205,0,1884,2340,239,376,385.4,,1.9,16.2,-8.3,,,557.059
2005-01-01,3431,104,56,69,2887,314,16487,1896,8932,0,2536,2515,300,308,386.6,,-2.5,7.3,-11,,,561.522
2005-02-01,3321,82,50,59,2831,298,14754,1631,7711,0,2490,2365,265,293,387.5,,-1.9,10.5,-13.1,,,561.522
2005-03-01,3707,115,57,50,3159,328,15977,1843,8936,0,2242,2411,224,321,388.2,,4.1,17.6,-6.5,,,561.522
2005-04-01,3732,104,54,83,3164,328,13977,1643,7894,0,1650,2354,115,322,387.9,,13.2,29.8,4.1,,,561.522
2005-05-01,3908,106,30,118,3321,333,13081,1863,7500,0,1101,2229,61,328,387,,17.7,30.2,6.3,,,561.522
2005-06-01,3488,113,36,111,2923,305,12965,1672,7780,0,853,2306,32,301,384,,22.7,32,15.5,,,561.522
